,,,,,,,,,,,,,,
,,Congressional Budget Office,,,,,,,"June 4, 2025",,,,,
,,Cost Estimate,,,,,,,,,,,,
,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,
"Estimated Budgetary Effects of H.R. 1, the One Big Beautiful Bill Act",,,,,,,,,,,,,,
"As passed by the House of Representatives on May 22, 2025",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"By Fiscal Year, Millions of Dollars",,,,,,,,,,,
,,,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,"2025-
2029","2025-
2034"
,,,,,,,,,,,,,,
,,,"Increases or Decreases (-) in Direct Spending Outlays, Revenues, and Deficits",,,,,,,,,,,
,,,,,,,,,,,,,,
Title I. Committee on Agriculture,,,,,,,,,,,,,,
,Estimated Outlays,,453,"-12,597","-16,168","-30,026","-30,058","-29,094","-28,121","-30,535","-30,874","-31,065","-88,396","-238,085"
,Estimated Revenues,,0,0,0,0,0,0,0,0,0,0,0,0
,Net Effect on the Deficit,,453,"-12,597","-16,168","-30,026","-30,058","-29,094","-28,121","-30,535","-30,874","-31,065","-88,396","-238,085"
,,,,,,,,,,,,,,
Title II. Committee on Armed Services,,,,,,,,,,,,,,
,Estimated Outlays,,"1,957","40,299","42,019","23,548","16,779","9,367","4,878","2,889","1,514",742,"124,602","143,992"
,Estimated Revenues,,0,0,0,0,0,0,0,0,0,0,0,0
,Net Effect on the Deficit,,"1,957","40,299","42,019","23,548","16,779","9,367","4,878","2,889","1,514",742,"124,602","143,992"
,,,,,,,,,,,,,,
Title III. Committee on Education and Workforce,,,,,,,,,,,,,,
,Estimated Outlays,,"-197,940","-14,271","-12,706","-12,649","-15,714","-18,455","-19,118","-19,236","-19,422","-19,591","-253,280","-349,102"
,Estimated Revenues,,0,0,0,0,0,0,0,0,0,0,0,0
,Net Effect on the Deficit,,"-197,940","-14,271","-12,706","-12,649","-15,714","-18,455","-19,118","-19,236","-19,422","-19,591","-253,280","-349,102"
,,,,,,,,,,,,,,
Title IV. Committee on Energy and Commerce,,,,,,,,,,,,,,
,Estimated Outlays,,"-1,145","-28,487","-66,042","-95,483","-111,573","-128,936","-146,869","-153,462","-149,810","-145,436","-302,730","-1,027,243"
,Estimated Revenues,,-26,-231,"4,045","6,441","8,640","9,942","12,025","13,220","4,120",171,"18,869","58,347"
,Net Effect on the Deficit,,"-1,119","-28,256","-70,087","-101,924","-120,213","-138,878","-158,894","-166,682","-153,930","-145,607","-321,599","-1,085,590"
,On-Budget Deficit,,"-1,126","-28,509","-70,701","-102,952","-121,294","-139,990","-160,050","-167,908","-155,221","-146,962","-324,582","-1,094,713"
